iteration,learning_rate,train_loss,train_error,validation_error,elapsed_seconds
500,0.1,2.057113,0.792781,0.7556,61.47
1000,0.1,1.88951,0.716922,0.6956,127.32
1500,0.1,1.79412,0.677031,0.6762,193.0
2000,0.1,1.71258,0.639922,0.6388,258.19
2500,0.1,1.663476,0.623766,0.627,323.3
3000,0.1,1.62534,0.607547,0.6018,388.44
3500,0.1,1.589261,0.592047,0.6354,452.61
4000,0.1,1.54729,0.578406,0.5956,517.16
4500,0.1,1.50317,0.555203,0.5702,583.19
5000,0.1,1.453333,0.535828,0.529,650.19
5500,0.1,1.395523,0.513375,0.5376,715.11
6000,0.1,1.323838,0.480797,0.5122,779.62
6500,0.1,1.257195,0.457547,0.4876,845.97
7000,0.1,1.18789,0.428687,0.437,911.75
7500,0.1,1.107692,0.397719,0.436,976.86
8000,0.1,1.053723,0.376625,0.441,1041.88
8500,0.1,0.994503,0.354906,0.4484,1108.86
9000,0.1,0.964198,0.341641,0.4306,1174.38
9500,0.1,0.913336,0.320891,0.338,1240.47
10000,0.1,0.892831,0.312063,0.3254,1306.01
10500,0.1,0.86171,0.302188,0.3146,1371.82
11000,0.1,0.836627,0.292859,0.336,1436.83
11500,0.1,0.812226,0.280937,0.309,1502.28
12000,0.1,0.794507,0.273141,0.3964,1567.87
12500,0.1,0.771966,0.264672,0.2908,1632.95
13000,0.1,0.74865,0.257062,0.2868,1697.42
13500,0.1,0.734277,0.252094,0.3088,1762.59
14000,0.1,0.721779,0.244859,0.294,1829.41
14500,0.1,0.711818,0.242641,0.289,1896.39
15000,0.1,0.6916,0.2365,0.2832,1962.01
15500,0.1,0.679628,0.234422,0.2458,2026.69
16000,0.1,0.671764,0.230875,0.2472,2092.22
16500,0.1,0.660112,0.224203,0.243,2157.29
17000,0.1,0.650308,0.223844,0.3314,2222.26
17500,0.1,0.640508,0.218391,0.296,2286.28
18000,0.1,0.629187,0.214891,0.2706,2351.43
18500,0.1,0.620315,0.212016,0.225,2421.58
19000,0.1,0.616889,0.210172,0.2848,2490.25
19500,0.1,0.598931,0.203797,0.2582,2558.59
20000,0.1,0.607131,0.206547,0.243,2625.47
20500,0.1,0.597559,0.202906,0.2554,2690.9
21000,0.1,0.591373,0.199734,0.2134,2755.9
21500,0.1,0.584932,0.199859,0.2792,2820.48
22000,0.1,0.583077,0.197828,0.2302,2885.77
22500,0.1,0.576438,0.195422,0.2194,2951.23
23000,0.1,0.571366,0.193484,0.2798,3016.54
23500,0.1,0.568018,0.191625,0.2688,3083.86
24000,0.1,0.559037,0.189453,0.2486,3148.61
24500,0.1,0.562806,0.191359,0.2582,3218.97
25000,0.1,0.549199,0.185891,0.2206,3282.95
25500,0.1,0.554074,0.187359,0.2416,3346.81
26000,0.1,0.546941,0.185031,0.2374,3420.02
26500,0.1,0.550565,0.185172,0.2684,3511.4
27000,0.1,0.543569,0.183203,0.2572,3590.55
27500,0.1,0.538023,0.183219,0.2138,3667.81
28000,0.1,0.540377,0.181703,0.2128,3739.63
28500,0.1,0.535624,0.181531,0.247,3827.66
29000,0.1,0.523327,0.178047,0.2434,3903.62
29500,0.1,0.539573,0.182031,0.336,3972.75
30000,0.1,0.532532,0.179297,0.2486,4038.51
30500,0.1,0.527543,0.178078,0.2856,4104.35
31000,0.1,0.522621,0.175766,0.1988,4168.48
31500,0.1,0.517194,0.173297,0.2476,4234.01
32000,0.010000000000000002,0.512782,0.173047,0.207,4301.34
32500,0.010000000000000002,0.37686,0.127766,0.1308,4383.37
33000,0.010000000000000002,0.327204,0.110281,0.1316,4493.63
33500,0.010000000000000002,0.312031,0.104906,0.1274,4592.62
34000,0.010000000000000002,0.302009,0.103359,0.1248,4713.64
34500,0.010000000000000002,0.292203,0.100063,0.128,4813.55
35000,0.010000000000000002,0.29185,0.099141,0.1224,4918.44
35500,0.010000000000000002,0.280615,0.095219,0.1276,5007.35
36000,0.010000000000000002,0.280237,0.095187,0.1234,5096.46
36500,0.010000000000000002,0.275895,0.093359,0.1266,5189.04
37000,0.010000000000000002,0.268153,0.091359,0.1242,5274.3
37500,0.010000000000000002,0.26445,0.090375,0.1266,5363.3
38000,0.010000000000000002,0.260827,0.089406,0.1244,5451.67
38500,0.010000000000000002,0.255928,0.087828,0.119,5536.11
39000,0.010000000000000002,0.25719,0.088094,0.1266,5622.59
39500,0.010000000000000002,0.251991,0.086047,0.126,5710.92
40000,0.010000000000000002,0.251641,0.087203,0.1244,5800.85
40500,0.010000000000000002,0.245655,0.085172,0.1242,5892.39
41000,0.010000000000000002,0.243111,0.082328,0.117,5976.75
41500,0.010000000000000002,0.248737,0.0855,0.1288,6057.37
42000,0.010000000000000002,0.235857,0.0805,0.1294,6133.41
42500,0.010000000000000002,0.237812,0.081703,0.1258,6212.75
43000,0.010000000000000002,0.233204,0.080281,0.1218,6300.02
43500,0.010000000000000002,0.234842,0.080047,0.1218,6389.53
44000,0.010000000000000002,0.231013,0.079812,0.1246,6469.52
44500,0.010000000000000002,0.229812,0.079937,0.1336,6555.0
45000,0.010000000000000002,0.225423,0.076375,0.1282,6646.55
45500,0.010000000000000002,0.2234,0.075219,0.129,6729.63
46000,0.010000000000000002,0.224557,0.076859,0.134,6810.73
