iteration,learning_rate,train_loss,train_error,validation_error,elapsed_seconds
500,0.1,1.718073,0.637547,0.53,41.45
1000,0.1,1.161822,0.418937,0.4332,80.53
1500,0.1,0.855142,0.301281,0.3054,119.18
2000,0.1,0.689146,0.239703,0.3092,158.42
2500,0.1,0.602441,0.208891,0.2314,197.65
3000,0.1,0.537239,0.184766,0.1932,236.47
3500,0.1,0.49009,0.170484,0.186,276.56
4000,0.1,0.452217,0.156109,0.226,315.97
4500,0.1,0.428125,0.148687,0.1886,355.27
5000,0.1,0.400366,0.139219,0.199,394.56
5500,0.1,0.387108,0.133953,0.1582,433.8
6000,0.1,0.366134,0.127031,0.1754,473.74
6500,0.1,0.348214,0.119703,0.174,513.59
7000,0.1,0.34141,0.118625,0.1762,552.73
7500,0.1,0.328088,0.113,0.181,592.68
8000,0.1,0.319896,0.111109,0.16,633.64
8500,0.1,0.306274,0.10575,0.1734,674.02
9000,0.1,0.303559,0.106516,0.1516,714.31
9500,0.1,0.288503,0.099516,0.152,755.27
10000,0.1,0.28815,0.101344,0.1308,798.36
10500,0.1,0.276392,0.095719,0.1462,840.06
11000,0.1,0.274772,0.096344,0.1724,880.61
11500,0.1,0.265324,0.093453,0.1414,921.46
12000,0.1,0.258757,0.09,0.172,963.37
12500,0.1,0.255465,0.088984,0.1382,1003.48
13000,0.1,0.252559,0.087672,0.149,1043.59
13500,0.1,0.244094,0.085391,0.1448,1084.2
14000,0.1,0.250527,0.088391,0.1396,1123.89
14500,0.1,0.237049,0.082375,0.1418,1163.83
15000,0.1,0.238046,0.083031,0.1312,1203.36
15500,0.1,0.233336,0.081531,0.1356,1242.61
16000,0.1,0.230935,0.081719,0.1388,1282.05
16500,0.1,0.231398,0.080859,0.1396,1321.12
17000,0.1,0.222959,0.078078,0.147,1360.56
17500,0.1,0.223729,0.078047,0.1436,1400.29
18000,0.1,0.217803,0.076063,0.1402,1440.0
18500,0.1,0.218848,0.077438,0.1378,1479.91
19000,0.1,0.216155,0.075828,0.1208,1520.05
19500,0.1,0.209642,0.073875,0.1322,1561.06
20000,0.1,0.215639,0.075453,0.163,1601.46
20500,0.1,0.209603,0.074266,0.1772,1642.3
21000,0.1,0.206188,0.073,0.1212,1682.53
21500,0.1,0.206927,0.072969,0.1222,1722.52
22000,0.1,0.20492,0.071906,0.1344,1763.25
22500,0.1,0.200566,0.07125,0.1612,1803.66
23000,0.1,0.197668,0.069172,0.145,1843.69
23500,0.1,0.20363,0.072219,0.1296,1884.04
24000,0.1,0.1995,0.069172,0.1182,1923.94
24500,0.1,0.197254,0.069156,0.134,1964.61
25000,0.1,0.197257,0.069906,0.1416,2005.07
25500,0.1,0.192401,0.067562,0.1276,2045.8
26000,0.1,0.192714,0.068719,0.1222,2086.1
26500,0.1,0.19002,0.067125,0.125,2127.03
27000,0.1,0.190856,0.067031,0.1286,2168.13
27500,0.1,0.186531,0.064859,0.1156,2208.61
28000,0.1,0.190925,0.067375,0.135,2249.66
28500,0.1,0.187776,0.065969,0.1238,2290.77
29000,0.1,0.183364,0.064016,0.1358,2331.81
